;exchanges
0;Abu Dhabi Securities Exchange
1;National Stock Exchange of India
2;Nigerian Exchange
3;Warsaw Stock Exchange
4;Zagreb Stock Exchange
5;Cyprus Stock Exchange
6;Bolsa de Valores de Lima
7;Deutsche Boerse AG
8;Nasdaq Nordic and Baltics
9;Vienna Stock Exchange
10;Colombo Stock Exchange
11;Tunis Stock Exchange
12;NZX Limited
13;Bolsa Nacional de Valores
14;Ukrainian Exchange
15;NYSE
16;Bolsa Mexicana de Valores
17;Bolsa de Valores de Colombia
18;BME Spanish Exchanges
19;Euronext
20;MERJ Exchange Limited
21;Moscow Exchange
22;Luxembourg Stock Exchange
23;Belarusian Currency and Stock Exchange
24;Malta Stock Exchange
25;Bermuda Stock Exchange
26;Dubai Financial Market
27;Bolsa de Comercio de Santiago
28;Namibian Stock Exchange
29;Nasdaq - US
30;Dhaka Stock Exchange
31;Muscat Stock Exchange
32;Nairobi Securities Exchange
33;Boerse Stuttgart
34;Bourse de Casablanca
35;Shanghai Stock Exchange
36;Sydney Stock Exchange
37;Shenzhen Stock Exchange
38;Taipei Exchange
39;Rwanda Stock Exchange
40;Taiwan Stock Exchange
41;Saudi Exchange (Tadawul)
42;Stock Exchange of Mauritius
43;BSE India Limited
44;Singapore Exchange
45;Bucharest Stock Exchange
46;SIX Swiss Exchange
47;BRVM
48;Budapest Stock Exchange
49;Bursa Malaysia
50;Palestine Exchange
51;The Stock Exchange of Thailand
52;Philippine Stock Exchange
53;Cboe Europe
54;Borsa Istanbul
55;Bolsa y Mercados Argentinos
56;TMX Group
57;Chittagong Stock Exchange
58;The Egyptian Exchange
59;Botswana Stock Exchange
60;Qatar Stock Exchange
61;Tehran Stock Exchange
62;Tel-Aviv Stock Exchange
63;Port Moresby Stock Exchange
64;Prague Stock Exchange
65;Korea Exchange
66;Athens Stock Exchange
67;Euronext Oslo
68;Johannesburg Stock Exchange
69;Barbados Stock Exchange
70;Hochiminh Stock Exchange
71;ASX Australian Securities Exchange
72;LSE Group
73;Japan Exchange Group
74;Hanoi Stock Exchange
75;Ljubljana Stock Exchange
76;Bahrain Bourse
77;Latin American Stock Exchange (Latinex)
78;B3 - Brasil Bolsa Balcão
79;Kazakhstan Stock Exchange
80;Amman Stock Exchange
81;Hong Kong Exchanges and Clearing
82;Euronext Dublin
83;Iran Fara Bourse Securities Exchange
84;Indonesia Stock Exchange
85;Beirut Stock Exchange
86;Jamaica Stock Exchange
87;BATS Global Markets
88;Armenia Securities Exchange
89;LSE Group London Stock Exchange
90;BME Spanish Exchanges Valencia
91;Astana International Exchange
92;NASDAQ OMX Riga
93;BME Spanish Exchanges Bilbao
94;NASDAQ OMX Nordic Stockholm
95;Baku Stock Exchange
96;Bolsa Electronica de Chile
97;Boursa Kuwait
98;Cayman Island Stock Exchange
99;Dar Es Salaam Stock Exchange
100;Euronext Paris
101;Euronext Lisbon
102;MIAX Exchange Group
103;Cboe Global Markets
104;NASDAQ OMX Nordic Helsinki
105;Bulgarian Stock Exchange
106;BME Spanish Exchanges Madrid
107;Lusaka Securities Exchange
108;FMDQ Group
109;National Equities Exchange and Quotations
110;NASDAQ OMX Vilnius
111;NASDAQ OMX Tallinn
112;Pakistan Stock Exchange
113;Canadian Securities Exchange
114;BME Spanish Exchanges Barcelona
115;NASDAQ OMX Nordic Copenhagen
116;Euronext Brussels
117;Euronext Amsterdam
118;Ghana Stock Exchange
119;Borsa Italiana
120;NASDAQ OMX Nordic Iceland
